pathway,selected_representative,is_representative,jaccard_to_representative,shared_genes_with_representative
MET activates RAP1 and RAC1,MET activates RAP1 and RAC1,True,1.0,10
G2/M Transition,Recruitment of NuMA to mitotic centrosomes,False,0.4253731343283582,57
Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide,Vif-mediated degradation of APOBEC3G,False,0.3829787234042553,36
Dengue Virus Infection,Dengue Virus Infection,True,1.0,287
FOXO-mediated transcription,FOXO-mediated transcription,True,1.0,51
Diseases associated with N-glycosylation of proteins,Diseases associated with N-glycosylation of proteins,True,1.0,20
SARS-CoV-1-host interactions,SARS-CoV-1 modulates host translation machinery,False,0.38095238095238093,32
RHOA GTPase cycle,CDC42 GTPase cycle,False,0.32727272727272727,54
RHOB GTPase cycle,RHOB GTPase cycle,True,1.0,63
Beta-catenin independent WNT signaling,Vif-mediated degradation of APOBEC3G,False,0.3173076923076923,33
ISG15 antiviral mechanism,NS1 Mediated Effects on Host Pathways,False,0.5,32
Death Receptor Signaling,NRAGE signals death through JNK,False,0.3387096774193548,42
Synthesis of very long-chain fatty acyl-CoAs,Synthesis of very long-chain fatty acyl-CoAs,True,1.0,20
HS-GAG degradation,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.44,11
Cell junction organization,Cell junction organization,True,1.0,187
Autodegradation of Cdh1 by Cdh1:APC/C,Vif-mediated degradation of APOBEC3G,False,0.6111111111111112,33
Transcriptional activation of mitochondrial biogenesis,Heme signaling,False,0.43859649122807015,25
PRC2 methylates histones and DNA,Defective pyroptosis,False,0.4117647058823529,7
MAPK family signaling cascades,MAPK family signaling cascades,True,1.0,203
Negative regulation of FGFR3 signaling,Spry regulation of FGF signaling,False,0.6,12
SARS-CoV-1 Infection,SARS-CoV-1 modulates host translation machinery,False,0.25833333333333336,31
ECM proteoglycans,ECM proteoglycans,True,1.0,53
GRB2 events in ERBB2 signaling,ERBB2 Regulates Cell Motility,False,0.4666666666666667,7
DNA Repair,DNA Repair,True,1.0,263
Modulation of host responses by IFN-stimulated genes,Modulation of host responses by IFN-stimulated genes,True,1.0,18
rRNA modification in the nucleus and cytosol,Major pathway of rRNA processing in the nucleolus and cytosol,False,0.2571428571428571,45
Cell-cell junction organization,Cell junction organization,False,0.8983957219251337,168
Global Genome Nucleotide Excision Repair (GG-NER),DNA Damage Recognition in GG-NER,False,0.42857142857142855,30
Formation of TC-NER Pre-Incision Complex,Formation of TC-NER Pre-Incision Complex,True,1.0,46
NOTCH4 Intracellular Domain Regulates Transcription,NOTCH1 Intracellular Domain Regulates Transcription,False,0.2708333333333333,13
RND2 GTPase cycle,RND1 GTPase cycle,False,0.45652173913043476,21
Signaling by Nuclear Receptors,ESR-mediated signaling,False,0.6167664670658682,103
MET promotes cell motility,Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells,False,0.47058823529411764,16
"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells","Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",True,1.0,25
TAK1-dependent IKK and NF-kappa-B activation,Toll Like Receptor 9 (TLR9) Cascade,False,0.42045454545454547,37
RSV-host interactions,Evasion by RSV of host interferon responses,False,0.2727272727272727,18
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,RHO GTPases Activate Formins,False,0.6851851851851852,74
Amplification of signal from the kinetochores,RHO GTPases Activate Formins,False,0.6851851851851852,74
Negative regulation of FGFR2 signaling,Spry regulation of FGF signaling,False,0.5714285714285714,12
RHOQ GTPase cycle,CDC42 GTPase cycle,False,0.29411764705882354,35
IRS-mediated signalling,IRS-mediated signalling,True,1.0,22
Assembly of the 9+2 motile cilia,Regulation of PTEN mRNA translation,False,0.2916666666666667,7
Transcriptional regulation of multiciliogenesis,Regulation of PTEN mRNA translation,False,0.2916666666666667,7
G0 and Early G1,G0 and Early G1,True,1.0,19
Signaling by NOTCH4,Vif-mediated degradation of APOBEC3G,False,0.5076923076923077,33
APC/C:Cdc20 mediated degradation of Securin,Vif-mediated degradation of APOBEC3G,False,0.6226415094339622,33
Inositol phosphate metabolism,NS1 Mediated Effects on Host Pathways,False,0.3076923076923077,24
Metabolism of steroids,Metabolism of steroids,True,1.0,102
Effects of PIP2 hydrolysis,Effects of PIP2 hydrolysis,True,1.0,25
Transcriptional Regulation by E2F6,Transcriptional Regulation by E2F6,True,1.0,32
Cyclin D associated events in G1,Aberrant regulation of mitotic cell cycle due to RB1 defects,False,0.2631578947368421,15
G1 Phase,Aberrant regulation of mitotic cell cycle due to RB1 defects,False,0.2631578947368421,15
Collagen formation,Collagen biosynthesis and modifying enzymes,False,0.8153846153846154,53
Signaling by GPCR,Signaling by GPCR,True,1.0,265
Attachment of bacteria to epithelial cells,Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells,False,0.5416666666666666,13
Biofilm formation,Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells,False,0.5416666666666666,13
NR1H2 and NR1H3-mediated signaling,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,False,0.8378378378378378,31
Late endosomal microautophagy,Late endosomal microautophagy,True,1.0,28
RUNX2 regulates bone development,RUNX2 regulates bone development,True,1.0,21
RAC2 GTPase cycle,RAC3 GTPase cycle,False,0.6091954022988506,53
Activation of GABAB receptors,Adenylate cyclase inhibitory pathway,False,0.30303030303030304,10
GABA B receptor activation,Adenylate cyclase inhibitory pathway,False,0.30303030303030304,10
Stimuli-sensing channels,Stimuli-sensing channels,True,1.0,72
Initiation of coagulation cascade,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.4583333333333333,11
Metabolism of fat-soluble vitamins,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.275,11
Switching of origins to a post-replicative state,Vif-mediated degradation of APOBEC3G,False,0.4788732394366197,34
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",True,1.0,62
Fanconi Anemia Pathway,Fanconi Anemia Pathway,True,1.0,30
Clathrin-mediated endocytosis,Clathrin-mediated endocytosis,True,1.0,92
RHO GTPases Activate NADPH Oxidases,RHO GTPases Activate NADPH Oxidases,True,1.0,17
Formation of the beta-catenin:TCF transactivating complex,Repression of WNT target genes,False,0.28125,9
Negative Regulation of CDH1 Gene Transcription,Negative Regulation of CDH1 Gene Transcription,True,1.0,25
rRNA processing in the mitochondrion,rRNA processing in the mitochondrion,True,1.0,14
Cyclin A:Cdk2-associated events at S phase entry,Vif-mediated degradation of APOBEC3G,False,0.4647887323943662,33
Antigen processing: Ubiquitination & Proteasome degradation,Antigen processing: Ubiquitination & Proteasome degradation,True,1.0,235
Platelet sensitization by LDL,Platelet sensitization by LDL,True,1.0,14
Processing of Capped Intron-Containing Pre-mRNA,Dengue Virus Infection,False,0.2988235294117647,127
Epigenetic regulation by WDR5-containing histone modifying complexes,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,False,0.6363636363636364,56
p75 NTR receptor-mediated signalling,NRAGE signals death through JNK,False,0.5526315789473685,42
Reproduction,Meiosis,False,0.6923076923076923,45
Glutathione conjugation,Glutathione conjugation,True,1.0,24
Fcgamma receptor (FCGR) dependent phagocytosis,Fcgamma receptor (FCGR) dependent phagocytosis,True,1.0,69
Cell-Cell communication,Cell junction organization,False,0.8899521531100478,186
Cargo recognition for clathrin-mediated endocytosis,Clathrin-mediated endocytosis,False,0.6847826086956522,63
Signaling by Non-Receptor Tyrosine Kinases,Signaling by Non-Receptor Tyrosine Kinases,True,1.0,46
Signaling by PTK6,Signaling by Non-Receptor Tyrosine Kinases,False,1.0,46
Synthesis of substrates in N-glycan biosythesis,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",False,0.7619047619047619,48
RHO GTPases Activate WASPs and WAVEs,Fcgamma receptor (FCGR) dependent phagocytosis,False,0.3888888888888889,28
SUMOylation of immune response proteins,SUMOylation of immune response proteins,True,1.0,12
PPARA activates gene expression,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,False,0.2807017543859649,32
ER-Phagosome pathway,Vif-mediated degradation of APOBEC3G,False,0.5076923076923077,33
ADP signalling through P2Y purinoceptor 1,Signal amplification,False,0.72,18
SARS-CoV-2 Infection,SARS-CoV-2-host interactions,False,0.6184738955823293,154
SUMO E3 ligases SUMOylate target proteins,SUMO E3 ligases SUMOylate target proteins,True,1.0,139
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,Vif-mediated degradation of APOBEC3G,False,0.5789473684210527,33
Nucleotide Excision Repair,Formation of TC-NER Pre-Incision Complex,False,0.4791666666666667,46
Heparan sulfate/heparin (HS-GAG) metabolism,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.3055555555555556,11
Signaling by WNT,Signaling by WNT,True,1.0,181
SUMOylation,SUMO E3 ligases SUMOylate target proteins,False,0.9788732394366197,139
Metabolism of cofactors,Metabolism of cofactors,True,1.0,20
Signaling by ERBB2 KD Mutants,ERBB2 Regulates Cell Motility,False,0.36363636363636365,8
Positive epigenetic regulation of rRNA expression,Positive epigenetic regulation of rRNA expression,True,1.0,39
p75NTR signals via NF-kB,p75NTR signals via NF-kB,True,1.0,12
Maturation of TCA enzymes and regulation of TCA cycle,Citric acid cycle (TCA cycle),False,0.5666666666666667,17
Glycogen breakdown (glycogenolysis),Glycogen breakdown (glycogenolysis),True,1.0,15
SARS-CoV-2 activates/modulates innate and adaptive immune responses,SARS-CoV-2-host interactions,False,0.5609756097560976,92
FOXO-mediated transcription of cell death genes,FOXO-mediated transcription,False,0.27450980392156865,14
RHOF GTPase cycle,RHOF GTPase cycle,True,1.0,36
G alpha (z) signalling events,Signal amplification,False,0.2608695652173913,12
Interleukin-7 signaling,Interleukin-7 signaling,True,1.0,13
Dengue Virus-Host Interactions,Dengue Virus Infection,False,0.643598615916955,186
Chromatin modifying enzymes,HATs acetylate histones,False,0.3626373626373626,66
Cyclin E associated events during G1/S transition,Vif-mediated degradation of APOBEC3G,False,0.4782608695652174,33
Bile acid and bile salt metabolism,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,False,0.4583333333333333,11
Detoxification of Reactive Oxygen Species,Detoxification of Reactive Oxygen Species,True,1.0,23
DAP12 signaling,DAP12 signaling,True,1.0,18
Transcriptional regulation by RUNX1,Transcriptional regulation by RUNX1,True,1.0,124
Plasma lipoprotein clearance,Plasma lipoprotein clearance,True,1.0,27
Base Excision Repair,Base Excision Repair,True,1.0,39
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,True,1.0,12
alpha-linolenic acid (ALA) metabolism,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,False,1.0,12
EGR2 and SOX10-mediated initiation of Schwann cell myelination,EGR2 and SOX10-mediated initiation of Schwann cell myelination,True,1.0,24
Transcriptional regulation of brown and beige adipocyte differentiation,Transcriptional regulation of brown and beige adipocyte differentiation,True,1.0,24
Transcriptional regulation of brown and beige adipocyte differentiation by EBF2,Transcriptional regulation of brown and beige adipocyte differentiation,False,1.0,24
Negative regulation of MAPK pathway,Negative regulation of MAPK pathway,True,1.0,35
SARS-CoV-1 activates/modulates innate immune responses,SARS-CoV-1 activates/modulates innate immune responses,True,1.0,35
Defective B3GALTL causes PpS,Defective B3GALTL causes PpS,True,1.0,31
Arachidonate metabolism,Arachidonate metabolism,True,1.0,31
SARS-CoV Infections,SARS-CoV-2-host interactions,False,0.44144144144144143,147
Aberrant regulation of mitotic exit in cancer due to RB1 defects,Aberrant regulation of mitotic cell cycle due to RB1 defects,False,0.5161290322580645,16
G1/S-Specific Transcription,G0 and Early G1,False,0.48,12
"Adrenaline,noradrenaline inhibits insulin secretion",Signal amplification,False,0.3939393939393939,13
Nuclear Events (kinase and transcription factor activation),NGF-stimulated transcription,False,0.5192307692307693,27
Carboxyterminal post-translational modifications of tubulin,Carboxyterminal post-translational modifications of tubulin,True,1.0,27
G1/S DNA Damage Checkpoints,Vif-mediated degradation of APOBEC3G,False,0.5396825396825397,34
Signaling by CSF3 (G-CSF),Signaling by CSF3 (G-CSF),True,1.0,24
Negative regulation of FGFR4 signaling,Spry regulation of FGF signaling,False,0.631578947368421,12
G-protein activation,Signal amplification,False,0.5555555555555556,15
Elastic fibre formation,Elastic fibre formation,True,1.0,29
RIP-mediated NFkB activation via ZBP1,Diseases associated with the TLR signaling cascade,False,0.36,9
Drug ADME,Paracetamol ADME,False,0.25,11
Early SARS-CoV-2 Infection Events,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.2894736842105263,11
Diseases associated with glycosylation precursor biosynthesis,Diseases associated with glycosylation precursor biosynthesis,True,1.0,13
Phase II - Conjugation of compounds,Glutathione conjugation,False,0.46938775510204084,23
Deadenylation-dependent mRNA decay,Deadenylation-dependent mRNA decay,True,1.0,48
N-glycan trimming in the ER and Calnexin/Calreticulin cycle,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,True,1.0,32
Iron uptake and transport,Transferrin endocytosis and recycling,False,0.46938775510204084,23
Nuclear RNA decay,Nuclear RNA decay,True,1.0,32
IRS-related events triggered by IGF1R,IRS-mediated signalling,False,0.9166666666666666,22
TRAF6 mediated NF-kB activation,TRAF6 mediated NF-kB activation,True,1.0,21
Kidney development,Kidney development,True,1.0,20
IGF1R signaling cascade,IRS-mediated signalling,False,0.9166666666666666,22
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),IRS-mediated signalling,False,0.9166666666666666,22
MITF-M-dependent gene expression,MITF-M-dependent gene expression,True,1.0,81
PI-3K cascade:FGFR1,IRS-mediated signalling,False,0.375,9
Protein localization,Protein localization,True,1.0,118
Regulation of CDH1 Gene Transcription,Negative Regulation of CDH1 Gene Transcription,False,0.7575757575757576,25
RUNX1 regulates transcription of genes involved in differentiation of HSCs,Vif-mediated degradation of APOBEC3G,False,0.6346153846153846,33
Transcriptional regulation by RUNX3,Vif-mediated degradation of APOBEC3G,False,0.4342105263157895,33
CDK-mediated phosphorylation and removal of Cdc6,Vif-mediated degradation of APOBEC3G,False,0.5892857142857143,33
Processing of antigen in germinal center B cells,Processing of antigen in germinal center B cells,True,1.0,60
Miscellaneous transport and binding events,Miscellaneous transport and binding events,True,1.0,18
Termination of translesion DNA synthesis,Termination of translesion DNA synthesis,True,1.0,29
Inactivation of CSF3 (G-CSF) signaling,Signaling by CSF3 (G-CSF),False,0.8333333333333334,20
Oncogene Induced Senescence,Oncogene Induced Senescence,True,1.0,28
MITF-M-regulated melanocyte development,MITF-M-dependent gene expression,False,0.6203703703703703,67
DNA Replication,Vif-mediated degradation of APOBEC3G,False,0.32075471698113206,34
G2/M DNA damage checkpoint,Nonhomologous End-Joining (NHEJ),False,0.2807017543859649,16
Synthesis of PIPs at the plasma membrane,Synthesis of PIPs at the plasma membrane,True,1.0,42
Mitotic Spindle Checkpoint,RHO GTPases Activate Formins,False,0.6147540983606558,75
TP53 Regulates Transcription of Cell Death Genes,TP53 Regulates Transcription of Cell Death Genes,True,1.0,36
Signaling by ERBB2 in Cancer,ERBB2 Regulates Cell Motility,False,0.36363636363636365,8
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,Positive epigenetic regulation of rRNA expression,False,0.38461538461538464,15
Pentose phosphate pathway,Pentose phosphate pathway,True,1.0,12
Nucleotide salvage,Nucleotide salvage,True,1.0,19
O-linked glycosylation of mucins,O-linked glycosylation of mucins,True,1.0,34
Hedgehog 'off' state,Vif-mediated degradation of APOBEC3G,False,0.3953488372093023,34
Inflammasomes,The NLRP3 inflammasome,False,0.6470588235294118,11
S Phase,Vif-mediated degradation of APOBEC3G,False,0.2595419847328244,34
Sialic acid metabolism,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",False,0.3870967741935484,24
APC/C:Cdc20 mediated degradation of mitotic proteins,Vif-mediated degradation of APOBEC3G,False,0.6111111111111112,33
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,Vif-mediated degradation of APOBEC3G,False,0.6111111111111112,33
Cdc20:Phospho-APC/C mediated degradation of Cyclin A,Vif-mediated degradation of APOBEC3G,False,0.6111111111111112,33
Cell Cycle Checkpoints,RHO GTPases Activate Formins,False,0.2863247863247863,67
SUMOylation of intracellular receptors,Nuclear Receptor transcription pathway,False,0.30434782608695654,14
MHC class II antigen presentation,Processing of antigen in germinal center B cells,False,0.6741573033707865,60
Metabolism of steroid hormones,Metabolism of steroid hormones,True,1.0,19
Gap junction degradation,Gap junction trafficking and regulation,False,0.4,10
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,True,1.0,13
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,Vif-mediated degradation of APOBEC3G,False,0.6,33
G alpha (12/13) signalling events,NRAGE signals death through JNK,False,0.5967741935483871,37
RHOBTB1 GTPase cycle,RHOBTB1 GTPase cycle,True,1.0,22
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,Nonhomologous End-Joining (NHEJ),False,0.3333333333333333,16
Negative regulation of FGFR1 signaling,Spry regulation of FGF signaling,False,0.5454545454545454,12
Regulation of NF-kappa B signaling,Regulation of NF-kappa B signaling,True,1.0,17
Mitotic Metaphase and Anaphase,RHO GTPases Activate Formins,False,0.44041450777202074,85
p38MAPK events,p38MAPK events,True,1.0,12
HIV Transcription Initiation,Formation of TC-NER Pre-Incision Complex,False,0.29850746268656714,20
RNA Polymerase II HIV Promoter Escape,Formation of TC-NER Pre-Incision Complex,False,0.29850746268656714,20
RNA Polymerase II Promoter Escape,Formation of TC-NER Pre-Incision Complex,False,0.29850746268656714,20
RNA Polymerase II Transcription Initiation,Formation of TC-NER Pre-Incision Complex,False,0.29850746268656714,20
RNA Polymerase II Transcription Initiation And Promoter Clearance,Formation of TC-NER Pre-Incision Complex,False,0.29850746268656714,20
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,Formation of TC-NER Pre-Incision Complex,False,0.29850746268656714,20
Triglyceride metabolism,Triglyceride metabolism,True,1.0,25
Depolymerization of the Nuclear Lamina,Depolymerization of the Nuclear Lamina,True,1.0,12
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,Resolution of D-Loop Structures,False,0.75,21
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,Resolution of D-Loop Structures,False,0.75,21
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,Resolution of D-Loop Structures,False,0.75,21
Defective homologous recombination repair (HRR) due to PALB2 loss of function,Resolution of D-Loop Structures,False,0.75,21
Regulation of signaling by CBL,Role of LAT2/NTAL/LAB on calcium mobilization,False,0.25,6
Intra-Golgi traffic,Intra-Golgi traffic,True,1.0,36
Mitotic Anaphase,RHO GTPases Activate Formins,False,0.4427083333333333,85
Insulin receptor signalling cascade,IRS-mediated signalling,False,0.8461538461538461,22
M Phase,RHO GTPases Activate Formins,False,0.29225352112676056,83
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",FOXO-mediated transcription,False,0.35294117647058826,18
Diseases of mitotic cell cycle,Aberrant regulation of mitotic cell cycle due to RB1 defects,False,0.9375,30
Ephrin signaling,Ephrin signaling,True,1.0,19
O-glycosylation of TSR domain-containing proteins,Defective B3GALTL causes PpS,False,0.8125,26
Resolution of Abasic Sites (AP sites),Base Excision Repair,False,0.8461538461538461,33
Mitochondrial biogenesis,Heme signaling,False,0.25,21
Antigen processing-Cross presentation,Vif-mediated degradation of APOBEC3G,False,0.4520547945205479,33
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,TP53 Regulates Transcription of Cell Cycle Genes,False,0.35135135135135137,13
ZBP1(DAI) mediated induction of type I IFNs,TRAF6 mediated NF-kB activation,False,0.35714285714285715,10
Cristae formation,Cristae formation,True,1.0,20
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,Signaling by TGF-beta Receptor Complex,False,0.4342105263157895,33
Biotin transport and metabolism,Biotin transport and metabolism,True,1.0,11
Phase 2 - plateau phase,Phase 2 - plateau phase,True,1.0,12
SUMOylation of ubiquitinylation proteins,NS1 Mediated Effects on Host Pathways,False,0.5869565217391305,27
MET activates PTK2 signaling,Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells,False,0.68,17
"Phosphorylation of CLOCK, acetylation of BMAL1 (ARNTL) at target gene promoters","Phosphorylation of CLOCK, acetylation of BMAL1 (ARNTL) at target gene promoters",True,1.0,10
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,Termination of translesion DNA synthesis,False,0.8,28
Transcription-Coupled Nucleotide Excision Repair (TC-NER),Formation of TC-NER Pre-Incision Complex,False,0.6666666666666666,46
RHOBTB GTPase Cycle,RHOBTB1 GTPase cycle,False,0.6666666666666666,22
MAPK targets/ Nuclear events mediated by MAP kinases,Toll Like Receptor 9 (TLR9) Cascade,False,0.27472527472527475,25
Folding of actin by CCT/TriC,BBSome-mediated cargo-targeting to cilium,False,0.2727272727272727,6
Activation of HOX genes during differentiation,Activation of HOX genes during differentiation,True,1.0,45
Activation of anterior HOX genes in hindbrain development during early embryogenesis,Activation of HOX genes during differentiation,False,1.0,45
p53-Dependent G1 DNA Damage Response,Vif-mediated degradation of APOBEC3G,False,0.6346153846153846,33
p53-Dependent G1/S DNA damage checkpoint,Vif-mediated degradation of APOBEC3G,False,0.6346153846153846,33
Negative regulators of DDX58/IFIH1 signaling,SARS-CoV-1 activates/modulates innate immune responses,False,0.2549019607843137,13
Signaling by Hippo,Signaling by Hippo,True,1.0,18
TGFBR3 expression,Regulation of PTEN mRNA translation,False,0.2916666666666667,7
Signalling to RAS,p38MAPK events,False,0.6666666666666666,12
ADP signalling through P2Y purinoceptor 12,Signal amplification,False,0.64,16
The CRY:PER:kinase complex represses transactivation by the BMAL:CLOCK (ARNTL:CLOCK) complex,"Phosphorylation of CLOCK, acetylation of BMAL1 (ARNTL) at target gene promoters",False,0.7692307692307693,10
Cytosolic iron-sulfur cluster assembly,Cytosolic iron-sulfur cluster assembly,True,1.0,9
FRS-mediated FGFR1 signaling,IRS-mediated signalling,False,0.36,9
mRNA Capping,Formation of TC-NER Pre-Incision Complex,False,0.37735849056603776,20
TCF dependent signaling in response to WNT,Signaling by WNT,False,0.6338797814207651,116
RNA Pol II CTD phosphorylation and interaction with CE,Formation of TC-NER Pre-Incision Complex,False,0.39215686274509803,20
RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,Formation of TC-NER Pre-Incision Complex,False,0.39215686274509803,20
Interleukin-2 family signaling,Interleukin receptor SHC signaling,False,0.5555555555555556,15
Sodium/Calcium exchangers,Sodium/Calcium exchangers,True,1.0,9
NF-kB is activated and signals survival,p75NTR signals via NF-kB,False,0.75,9
Formation of Incision Complex in GG-NER,Formation of Incision Complex in GG-NER,True,1.0,36
M-decay: degradation of maternal mRNAs by maternally stored factors,Deadenylation-dependent mRNA decay,False,0.2727272727272727,18
Golgi Associated Vesicle Biogenesis,Golgi Associated Vesicle Biogenesis,True,1.0,39
Gastrulation,Vif-mediated degradation of APOBEC3G,False,0.3611111111111111,26
Dengue Virus Attachment and Entry,Dengue Virus Attachment and Entry,True,1.0,39
SCF(Skp2)-mediated degradation of p27/p21,Vif-mediated degradation of APOBEC3G,False,0.66,33
Differentiation of naive CD4+ T cells to T helper 2 cells (Th2 cells),NOTCH1 Intracellular Domain Regulates Transcription,False,0.2911392405063291,23
Endogenous sterols,Endogenous sterols,True,1.0,15
Maternal to zygotic transition (MZT),Maternal to zygotic transition (MZT),True,1.0,54
Interactions of Vpr with host cellular proteins,NS1 Mediated Effects on Host Pathways,False,0.627906976744186,27
FOXO-mediated transcription of cell cycle genes,FOXO-mediated transcription,False,0.2549019607843137,13
Sealing of the nuclear envelope (NE) by ESCRT-III,Gap junction trafficking and regulation,False,0.30303030303030304,10
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),Resolution of D-Loop Structures,False,0.7857142857142857,22
Ca2+ pathway,Ca2+ pathway,True,1.0,43
SUMOylation of transcription cofactors,SUMO E3 ligases SUMOylate target proteins,False,0.2805755395683453,39
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,True,1.0,16
MTOR signalling,MTOR signalling,True,1.0,41
Synthesis of bile acids and bile salts,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,False,0.43478260869565216,10
Mitotic G1 phase and G1/S transition,Vif-mediated degradation of APOBEC3G,False,0.26666666666666666,32
Thromboxane signalling through TP receptor,Signal amplification,False,0.68,17
Transcriptional regulation of granulopoiesis,Transcriptional regulation of granulopoiesis,True,1.0,20
PI-3K cascade:FGFR3,IRS-mediated signalling,False,0.391304347826087,9
Late SARS-CoV-2 Infection Events,Late SARS-CoV-2 Infection Events,True,1.0,59
HDACs deacetylate histones,HDACs deacetylate histones,True,1.0,27
Regulation of PTEN gene transcription,Regulation of PTEN gene transcription,True,1.0,54
Metabolism of vitamins and cofactors,Metabolism of vitamins and cofactors,True,1.0,141
Activation of STAT3 by cadherin engagement,Vif-mediated degradation of APOBEC3G,False,0.4925373134328358,33
Other interleukin signaling,Other interleukin signaling,True,1.0,17
HCMV Early Events,NS1 Mediated Effects on Host Pathways,False,0.3698630136986301,27
ERK/MAPK targets,ERK/MAPK targets,True,1.0,19
Hedgehog ligand biogenesis,Vif-mediated degradation of APOBEC3G,False,0.66,33
Interferon gamma signaling,Interferon Signaling,False,0.2637795275590551,67
Impaired BRCA2 binding to PALB2,Resolution of D-Loop Structures,False,0.7142857142857143,20
Lysine catabolism,Lysine catabolism,True,1.0,12
Other semaphorin interactions,Other semaphorin interactions,True,1.0,14
Maturation of nucleoprotein_9694631,Maturation of nucleoprotein_9694631,True,1.0,12
SLC transporter disorders,NS1 Mediated Effects on Host Pathways,False,0.3611111111111111,26
Signaling by FGFR2 IIIa TM,Signaling by FGFR,False,0.2923076923076923,19
Somitogenesis,Vif-mediated degradation of APOBEC3G,False,0.6590909090909091,29
Caspase activation via extrinsic apoptotic signalling pathway,Caspase activation via extrinsic apoptotic signalling pathway,True,1.0,19
mRNA decay by 5' to 3' exoribonuclease,Deadenylation-dependent mRNA decay,False,0.2708333333333333,13
PI Metabolism,Synthesis of PIPs at the plasma membrane,False,0.5492957746478874,39
Defects in cobalamin (B12) metabolism,Defects in cobalamin (B12) metabolism,True,1.0,9
TP53 Regulates Transcription of DNA Repair Genes,Formation of TC-NER Pre-Incision Complex,False,0.2625,21
Carnitine shuttle,Carnitine shuttle,True,1.0,10
Regulation of APC/C activators between G1/S and early anaphase,Vif-mediated degradation of APOBEC3G,False,0.5689655172413793,33
Transcriptional Regulation by NPAS4,Transcriptional Regulation by NPAS4,True,1.0,26
Coagulation pathway,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.3333333333333333,11
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,Aberrant regulation of mitotic cell cycle due to RB1 defects,False,0.375,12
Surfactant metabolism,Surfactant metabolism,True,1.0,8
SUMOylation of SUMOylation proteins,NS1 Mediated Effects on Host Pathways,False,0.627906976744186,27
Metabolism of non-coding RNA,NS1 Mediated Effects on Host Pathways,False,0.45,27
snRNP Assembly,NS1 Mediated Effects on Host Pathways,False,0.45,27
